ID number,Date,Month,Year,Description of event,Type of event,Institutions or actors,UK jurisdiction,Special tag,Subject matter (general),Subject matter (specific),Source,...13,...14,...15
NA,8,January,2020,The Scottish Parliament voted to refuse a legislative consent motion to the European Union (Withdrawal Agreement) Bill.,Parliamentary motion,Scotland Office; Department for Exiting the European Union,Scotland; UK,Brexit,"Devolution and the Union; Ethics, standards and integrity",Scotland; Sewel convention; conventions,https://archive2021.parliament.scot/parliamentarybusiness/report.aspx?r=12446&i=112508&c=2228480#ScotParlOR,NA,NA,NA
NA,16,January,2020,The Prime Minister appointed Helen Grant MP as special envoy on the education of girls.,"Appointment, dismissal or resignation",Prime Minister,UK,None,Civil service and public sector reform; Human rights and equality,women and gender; children; education; special envoys,https://www.gov.uk/government/news/prime-minister-appoints-new-envoy-on-girls-education-16-january-2020,NA,NA,NA
NA,16,January,2020,The House of Commons passed a temporary Standing Order creating the Committee on Exiting the European Union to examine the work of the Department for Exiting the European Union.,Parliamentary motion,Department for Exiting the European Union,UK,Brexit,Parliament; Civil service and public sector reform,committees; standing orders; government departments,https://publications.parliament.uk/pa/cm5801/cmselect/cmexeu/977/97703.htm,NA,NA,NA
NA,20,January,2020,The Northern Ireland Assembly passed a motion against providing legislative consent to the European Union (Withdrawal Agreement) Bill.,Parliamentary motion,Northern Ireland Office; Department for Exiting the European Union,Northern Ireland; UK,Brexit,"Devolution and the Union; Ethics, standards and integrity",Northern Ireland; Northern Ireland Protocol; Sewel convention; conventions,http://www.niassembly.gov.uk/assembly-business/order-papers/session-2017-2018/20-january-2020/,NA,NA,NA
NA,23,January,2020,Parliament passed the European Union (Withdrawal Agreement) Act 2020 which implemented the Withdrawal Agreement and Political Declaration in domestic law.,Primary legislation,Department for Exiting the European Union,UK,Brexit,Parliament; Rule of law,House of Commons; House of Lords; international law,https://www.legislation.gov.uk/ukpga/2020/1/contents/enacted,NA,NA,NA
NA,23,January,2020,"A joint ministerial forum for trade was established between central government ministers and ministers in the devolved governments to provide a forum where international trade policy could be discussed, particularly its implications for devolved powers and nations.","Decision, announcement, statement or speech",Department for International Trade,UK,Brexit,Civil service and public sector reform; Devolution and the Union,joint ministerial councils,https://questions-statements.parliament.uk/written-questions/detail/2020-01-23/900354,NA,NA,NA
*,28,January,2020,"The Court Of Appeal determined that, unless for a short period to allow for bail arrangements to be made, it was unlawful for the Home Secretary to authorise the continuation of detention pending deportation for an individual when it was clear that the Home Secretary could not deport the individual within a reasonable period of time.",Case,Home Office,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; immigration,https://www.bailii.org/ew/cases/EWCA/Civ/2020/36.html,NA,NA,NA
*,29,January,2020,"The Court of Appeal upheld the High Court’s finding that the Universal Credit (Transitional Provisions) Regulations 2014 unlawfully discriminated against severely disabled individuals who had seen their benefits payment reduced by £170 per month as a result of migrating across local authority borders, to a local authority that used a Universal Credit system.",Case,Department for Work and Pensions,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; social security,https://www.bailii.org/ew/cases/EWCA/Civ/2020/37.html,NA,NA,NA
NA,31,January,2020,The Department for Exiting the European Union was closed and ceased to operate.,"Appointment, dismissal or resignation",Department for Exiting the European Union,UK,Brexit,Civil service and public sector reform,government departments,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union,NA,NA,NA
NA,3,February,2020,"It was reported that the Prime Minister's Director of Communications, Lee Cain, attempted to exclude some political journalists from a media briefing held at No. 10 Downing Street.","Decision, announcement, statement or speech",Prime Minister,UK,None,"Ethics, standards and integrity; Human rights and equality",transparency; freedom of expression; journalists; freedom of information,https://www.theguardian.com/politics/2020/feb/03/political-journalists-boycott-no-10-briefing-after-reporter-ban,NA,NA,NA
NA,8,February,2020,"It was reported that the Cabinet Office operated a so-called ""clearing house"" to vet certain freedom of information requests made to government departments prior to approval or refusal.","Decision, announcement, statement or speech",Cabinet Office,UK,None,"Ethics, standard and integrity; Human rights and equality",transparency; freedom of information; journalists,https://www.gov.uk/government/news/response-to-points-raised-in-opendemocracy-article-080221,NA,NA,NA
*,11,February,2020,"The Court of Appeal held that Article 9 Bill of Rights prevented the court from scrutinising the report of a non-statutory inquiry into child abuse on St Helena, with the report being protected by parliamentary privilege. This interpretation of Article 9 was held not to be contrary to the applicants’ Article 8 ECHR rights.",Case,Foreign Office,UK,None,Courts; Human rights and equality; Parliament,cases; judicial review; Court of Appeal; ECHR; privacy; parliamentary procedure,https://www.bailii.org/ew/cases/EWCA/Civ/2020/142.html,NA,NA,NA
*,12,February,2020,"Though dismissing the appeal on different grounds, the Court of Appeal upheld the finding of the Administrative Court that by failing to comply with r.34 Detention Centre Rules 2001 by not arranging for an asylum seeker to undergo a heath examination within 24 hours of arrival at a removal centre, the continued detention of the individual was automatically unlawful.",Case,Home Office,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; immigration; asylum and refugee protection,https://www.bailii.org/ew/cases/EWCA/Civ/2020/146.html,NA,NA,NA
NA,12,February,2020,"Upholding a claim for false imprisonment damages, the UK Supreme Court rejected an argument from the Home Secretary that the practice of enforcing electronic tagging and home curfews under paragraph 2(5) of Schedule 3 to the Immigration Act 1971 did not qualify as ""imprisonment"" at common law.",Case,Home Office,UK,None,Human rights and equality; Courts,cases; judicial review; Supreme Court; ECHR; prisons and probation,https://www.supremecourt.uk/cases/docs/uksc-2018-0137-judgment.pdf,NA,NA,NA
NA,13,February,2020,"Lady Morgan resigned as Secretary of State for Digital, Culture, Media and Sport.","Appointment, dismissal or resignation","Department for Digital, Culture, Media and Sport",UK,second reshuffle,Civil service and public sector reform,resignation,https://www.gov.uk/government/people/nicky-morgan,NA,NA,NA
NA,13,February,2020,"Oliver Dowden MP was appointed as Secretary of State for Digital, Culture, Media and Sport by the Prime Minister.","Appointment, dismissal or resignation","Department for Digital, Culture, Media and Sport; Prime Minister",UK,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/dowden,NA,NA,NA
NA,13,February,2020,Geoffrey Cox QC MP was dismissed as Attorney-General by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Law Officers,England; UK,second reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/geoffrey-cox,NA,NA,NA
NA,13,February,2020,Suella Braverman MP was appointed as Attorney-General and Advocate General for Northern Ireland by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Law Officers,England; UK,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/braverman,NA,NA,NA
NA,13,February,2020,Anne-Marie Trevelyan MP was appointed as Secretary of State for International Development by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for International Development,UK,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/anne-marie-trevelyan,NA,NA,NA
NA,13,February,2020,"Theresa Villiers MP was dismissed as Secretary of State for the Environment, Food and Rural Affairs by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Department for the Environment, Food and Rural Affairs",UK; England,second reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/theresa-villiers,NA,NA,NA
NA,13,February,2020,"George Eustice MP was appointed as Secretary of State for the Environment, Food and Rural Affairs by the Prime Minister.","Appointment, dismissal or resignation","Prime Minsiter; Department for the Environment, Food and Rural Affairs",UK; England,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/george-eustice,NA,NA,NA
NA,13,February,2020,"Julian Smith MP, the Secretary of State for Northern Ireland, was dismissed by the Prime Minister.","Appointment, dismissal or resignation",Prime Minister; Northern Ireland Office,UK; Northern Ireland,second reshuffle,Civil service and public sector reform; Devolution and the Union,dismissal; Northern Ireland,https://www.gov.uk/government/people/julian-smith,NA,NA,NA
NA,13,February,2020,Brandon Lewis MP was appointed as Secretary of State for Northern Ireland by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Northern Ireland Office,UK; Northern Ireland,second reshuffle,Civil service and public sector reform; Devolution and the Union,ministerial appointments; Northern Ireland,https://www.gov.uk/government/people/brandon-lewis,NA,NA,NA
NA,13,February,2020,"Andrea Leadsom MP was dismissed as Secretary of State for Business, Energy and Industrial Strategy by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Department for Business, Energy and Industrial Strategy",UK,second reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/andrea-leadsom,NA,NA,NA
NA,13,February,2020,"Alok Sharma MP was appointed as Secretary of State for Business, Energy and Industrial Strategy by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Department for Business, Energy and Industrial Strategy",UK,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/alok-sharma,NA,NA,NA
NA,13,February,2020,George Freeman MP was dismissed as Minister of State for Transport by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for Transport,England,second reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/george-freeman,NA,NA,NA
NA,13,February,2020,Esther McVey MP was dismissed as Minister of State for Planning and Housing by the Prime Minister.,"Appointment, dismissal or resignation","Prime Minister; Ministry of Housing, Communities and Local Government",UK; England,second reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/esther-mcvey,NA,NA,NA
NA,13,February,2020,"The Chancellor of the Exchequer, Sajid Javid MP, resigned from the government following a request from the Prime Minister to dismiss his closest advisors.","Appointment, dismissal or resignation",Treasury; Prime Minister,UK,second reshuffle,Civil service and public sector reform,resignation; special advisors,https://www.bbc.co.uk/news/uk-politics-51491662,NA,NA,NA
NA,13,February,2020,Rishi Sunak MP was appointed as Chancellor of the Exchequer following the resignation of Sajid Javid MP.,"Appointment, dismissal or resignation",Treasury; Prime Minister,UK,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.bbc.co.uk/news/uk-politics-51491662,NA,NA,NA
NA,13,February,2020,It was reported that one of the reasons for the resignation of Sajid Javid MP as Chancellor of the Exchequer was the intention of the Prime Minister to merge the advisory teams of the Prime Minister and the Chancellor.,"Appointment, dismissal or resignation",Prime Minister; Treasury,UK,second reshuffle,Civil service and public sector reform,special advisors; ministerial appointments; resignation,https://www.bbc.co.uk/news/uk-politics-51491662,NA,NA,NA
NA,13,February,2020,"Chris Skidmore MP was dismissed as Minister of State for Universities, Science, Research and Innovation by the Prime Minister.","Appointment, dismissal or resignation",Prime Minister; Department for Education,England and Wales; UK,second reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/chris-skidmore,NA,NA,NA
NA,13,February,2020,Jake Berry MP resigned as Minister for the Northern Powerhouse and Local Growth following his refusal to accept a new position in the government.,"Appointment, dismissal or resignation","Prime Minister; Ministry of Housing, Communities and Local Government",UK; England,second reshuffle,Civil service and public sector reform,resignation,https://www.thebusinessdesk.com/northwest/news/2055389-northern-powerhouse-minister-quits,NA,NA,NA
NA,13,February,2020,James Brokenshire MP was appointed as Minister of State for Security by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Home Office,UK,second reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/james-brokenshire,NA,NA,NA
NA,13,February,2020,Kemi Badenoch MP was appointed as Exchequer Secretary to the Treasury and Minister for Equalities by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Treasury; Equalities Office,UK,second reshuffle,Civil service and public sector reform; Human rights and equality,ministerial appointments; protected characteristics,https://www.gov.uk/government/people/kemi-badenoch,NA,NA,NA
NA,17,February,2020,"The Prime Minister appointed Andrew Sabisky, who had previously made supportive comments on eugenics and racial intelligence, as special advisor.","Appointment, dismissal or resignation",Prime Minister,UK,None,Civil service and public sector reform; Human rights and equality,special advisors; race; protected characteristics,https://www.bbc.co.uk/news/uk-politics-51535367,NA,NA,NA
NA,24,February,2020,"The Proscribed Organisations (Name Change) Order 2020 came into effect and proscribed the System Resistance Network as an alias for National Action, a white supremacist group.",Statutory instrument,Home Office,UK,None,Human rights and equality,race; protected characteristics; freedom of association; freedom of expression,https://www.legislation.gov.uk/uksi/2020/169/contents/made,NA,NA,NA
NA,26,February,2020,"The Terrorist Offenders (Restriction of Early Release) Act 2020 received royal assent, which prevents the Parole Board of England and Wales and the Parole Board of Scotland from granting early release to persons convicted of certain terrorist offences. The Act makes these provisions retroactive in that they override existing early release policies and provisions.",Primary legislation,Ministry of Justice; Home Office,England and Wales; Scotland,None,Human rights and equality,prisoners and probation; terrorism,https://www.legislation.gov.uk/ukpga/2020/3/contents,NA,NA,NA
NA,26,February,2020,"The UK Supreme Court ruled that the Home Secretary place an individual in unlawful detention pending deportation. The Home Secretary purported to rely on the unlawful Nationality, Immigration and Asylum Act 2002 (Specification of Particularly Serious Crimes) Order 2004 as a basis for said deportation; given that the deportation had no legal basis, the Court held that ""the question of detention cannot arise, much less be legal"".",Case,Home Office,UK,None,Human rights and equality; Courts,immigration; cases; judicial review; Supreme Court,https://www.supremecourt.uk/cases/docs/uksc-2018-0140-judgment.pdf,NA,NA,NA
NA,27,February,2020,"The Terrorism Act 2000 (Proscribed Organisations) (Amendment) Order 2020 came into effect and proscribed the Kurdistan Workers’ Party (Partiya Karkeren Kurdistani) (PKK) including Teyrebazene Azadiye Kurdistan (TAK) and Hezen Parastina Gel (HPG), as well as the Sonnenkrieg Division.",Statutory instrument,Home Office,UK,None,Human rights and equality,race; protected characteristics; freedom of association; freedom of expression; terrorism,https://www.legislation.gov.uk/uksi/2020/200/contents/made,NA,NA,NA
*,27,February,2020,"When choosing between various rival schemes for airport expansion, the Court of Appeal determined that it was lawful for the Secretary of State for Transport to favour one scheme over another based on the party that was promoting the scheme; despite the fact that parties were told they would be treated “fairly”, there was no legitimate expectation that the secretary of state would only consider scheme-specific factors and not promoter-specific factors.",Case,Department for Transport,UK,None,Courts,cases; judicial review; Court of Appeal,https://www.bailii.org/ew/cases/EWCA/Civ/2020/213.html,NA,NA,NA
*,27,February,2020,"The Court of Appeal held that the Secretary of State for Transport had acted unlawfully in designating the Airport National Policy Statement (ANPS), under section 5(1) Planning Act 2008. It determined that the Paris Agreement 2015, with its considerable climate obligations, was ‘government policy’ for the purposes of section 5(8) Planning Act 2008, and the secretary of state therefore erred in failing to consider the Paris Agreement when designating the ANPS. The judgment was overturned by the UK Supreme Court.",Case,Department for Transport,UK,None,Courts,cases; judicial review; Court of Appeal,https://www.bailii.org/ew/cases/EWCA/Civ/2020/214.html,NA,NA,NA
NA,28,February,2020,No. 10 launched a website for the recruitment of special advisors outside of the usual channels for public sector and civil service recruitment.,"Appointment, dismissal or resignation",Prime Minister,UK,None,Civil service and public sector reform,special advisors; civil service,https://www.spadjobs.uk/,NA,NA,NA
NA,29,February,2020,Sir Philip Rutnam resigned as Permanent Secretary to the Home Office and initiated legal proceedings against the Home Office following allegations of bullying and improper conduct against the Home Secretary.,"Appointment, dismissal or resignation",Home Office,UK,None,"Civil service and public sector reform; Ethics, standards and integrity",permanent secretaries; resignation; personal conduct,https://www.gov.uk/government/people/philip-rutnam,NA,NA,NA
NA,2,March,2020,The House of Commons amended its temporary Standing Order of 16 January 2020 so as to rename the Committee on Exiting the European Union the Committee on the Future Relationship with the European Union.,Parliamentary motion,Department for Exiting the European Union,UK,Brexit,Parliament,committees; government departments; standing orders; scrutiny,https://publications.parliament.uk/pa/cm5801/cmstords/addenda/Addendum200424.pdf,NA,NA,NA
*,10,March,2020,"The Court of Appeal held that it was not a violation of Article 8 ECHR for Her Majesty’s Passport Office policy of refusing to issue ungendered passports, stressing the wide margin of appreciation that the European Court of Human Rights affords states when implementing positive obligations.",Case,Home Office,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; ECHR; right to privacy,https://www.bailii.org/ew/cases/EWCA/Civ/2020/363.html,NA,NA,NA
NA,11,March,2020,"The Chancellor of the Exchequer announced that 22,000 civil service positions would be moved from London over the next decade with a target of 25% of positions to be based outside of London by 2025.","Decision, announcement, statement or speech",Treasury,UK,None,Civil service and public sector reform,relocation; civil service; government departments,https://www.gov.uk/government/news/business-department-and-home-office-to-open-up-almost-3000-civil-service-job-roles-outside-of-london,NA,NA,NA
NA,11,March,2020,The Scotland Act 1998 (Transfer of Functions to the Scottish Ministers etc.) Order 2020 provided that a number of functions of the Secretary of State in respect of s.2 of the Employment and Training Act 1973 would be exercised concurrently with Scottish Ministers.,Statutory instrument,Scotland Office,Scotland,None,Devolution and the Union,Scotland,https://www.legislation.gov.uk/uksi/2020/276/contents/made,NA,NA,NA
NA,16,March,2020,The Prime Minister made a public statement advising members of the public with coronavirus symptoms to self-isolate for fourteen days; recommending against all non-essential social contact and travel; and announcing a system of shielding for the most clinically vulnerable people.,"Decision, announcement, statement or speech",Prime Minister,England,Coronavirus; initial Covid response,Human rights and equality; Civil service and public sector reform,freedom of association; communications,https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-16-march-2020,NA,NA,NA
NA,16,March,2020,"The NHS Funding Act 2020 received royal assent, which permitted the Secretary of State for Health to spend between £127,007,000,000 and £148,467,000,000 on the NHS in England between 2021 and 2024.",Primary legislation,Department for Health,England,Coronavirus,Human rights and equality,social security,https://www.legislation.gov.uk/ukpga/2020/5/contents,NA,NA,NA
*,17,March,2020,The Court of Appeal held that the Home Secretary had not erred in applying Regulation 27(3) Immigration (European Economic Area) Regulations 2016 so as to exclude periods of imprisonment or detention for the purposes of establishing 10 years’ continuous residence.,Case,Home Office,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; immigration,https://www.bailii.org/ew/cases/EWCA/Civ/2020/406.html,NA,NA,NA
NA,20,March,2020,"HM Prison and Probation Service released its ""Draft Target Operating Model"" on the operation of probation services in England and Wales after June 2021. The plan was to ""unify"" all private and independent probation services under the public sector National Probation Service.",Policy paper,Ministry of Justice,England and Wales,None,Civil service and public sector reform,nationalisation; privatisation; prisons and probation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/873093/A_Draft_Target_Operating_Model_for_the_Future_of_Probation_Services_in_England_and_Wales__in_English_.pdf,NA,NA,NA
NA,23,March,2020,The Prime Minister made a public statement instructing all persons to avoid non-essential social contact and travel in light of the spread of coronavirus.,"Decision, announcement, statement or speech",Prime Minister,England,Coronavirus; initial Covid response,Human rights and equality; Civil service and public sector reform,freedom of association; communications,https://www.gov.uk/government/speeches/pm-address-to-the-nation-on-coronavirus-23-march-2020,NA,NA,NA
NA,25,March,2020,"Allowing an appeal, the UK Supreme Court held that the Home Secretary failed to comply with the obligations under Part 3 of the Data Protection Act 2018 by sharing the personal information of the applicant's son with the US government without assurances that the information would not be used in a prosecution that could lead to the imposition of the death penalty. The information was shared in response to a mutual legal assistance request.",Case,Home Office,UK,None,Human rights and equality; Courts,criminal sanctions; death penalty; freedom of information; cases; Supreme Court; judicial review,https://www.supremecourt.uk/cases/docs/uksc-2019-0057-judgment.pdf,NA,NA,NA
NA,25,March,2020,Parliament passed the Coronavirus Act 2020.,Primary legislation,Parliament,UK,Coronavirus; first lockdown,Human rights and equality,protests; police powers; criminal sanctions; social security; socio-economic rights; education; freedom of association,https://www.legislation.gov.uk/ukpga/2020/7/contents/enacted,NA,NA,NA
NA,26,March,2020,"The Secretary of State for Health made the Health Protection (Coronavirus, Restrictions) (England) Regulations 2020, which required all persons to remain within the place where they were living unless they had ""reasonable excuse"", imposed mandatory closure on all but essential business premises, and granted the police powers to enforce these restrictions through fixed penalty notices.",Statutory instrument,Department for Health,England,Coronavirus; first lockdown,Human rights and equality; Parliament,freedom of association; protests; police powers; criminal sanctions; education,https://www.legislation.gov.uk/uksi/2020/350/contents/made,NA,NA,NA
NA,27,March,2020,"Dominic Cummings, chief advisor to the Prime Minister, travelled from London to a second home in Durham following his wife potentially contracting coronavirus. There is the possibility that this was in breach of the government's coronavirus guidelines and regulations.","Decision, announcement, statement or speech",Prime Minister,England,Coronavirus; first lockdown,"Ethics, standards and integrity; Civil service and public sector reform",personal conduct; special advisors,https://www.bbc.co.uk/news/uk-politics-52784290,NA,NA,NA
NA,30,March,2020,"The Cabinet Office and Department for Digital, Culture, Media and Sport jointly launched a so-called ""Rapid Response Unit"" whereby a group of specialists are tasked with identifying and countering disinformation being propagated. The Unit is part of a broader ""Counter Disinformation Cell""  within the Department for Digital, Culture, Media and Sport","Decision, announcement, statement or speech","Cabinet Office; Department for Digital, Culture, Media and Sport",England,Coronavirus,Human rights and equality; Civil service and public sector reform,internet freedom; freedom of expression; new public bodies; digital; communications,https://www.gov.uk/government/news/government-cracks-down-on-spread-of-false-coronavirus-information-online,NA,NA,NA
NA,31,March,2020,The Secretary of State for Northern Ireland made the Abortion (Northern Ireland) Regulations 2020 outlining the grounds on which an abortion would be lawful in Northern Ireland.,Statutory instrument,Northern Ireland Office,Northern Ireland,None,Human rights and equality; Devolution and the Union,Northern Ireland; abortion; women and gender; Sewel convention,https://www.legislation.gov.uk/uksi/2020/345/contents/made,NA,NA,NA
NA,16,April,2020,"In a public statement, the Foreign Secretary indicated that existing coronavirus restrictions must remain in place for at least the next three weeks.","Decision, announcement, statement or speech",Foreign Office; Department for Health,England,Coronavirus; first lockdown,Human rights and equality,freedom of association; protests; police powers; criminal sanctions; education,https://www.gov.uk/government/speeches/foreign-secretarys-statement-on-coronavirus-covid-19-16-april-2020,NA,NA,NA
NA,16,April,2020,"The House of Commons Commission, chaired by the Speaker of the House of Commons, and with membership including the Leader and Shadow Leader of the House of Commons, agreed that up to 120 MPs would be permitted to take part in House of Commons proceedings virtually with up to 50 MPs remaining in the Chamber under social distancing measures.","Decision, announcement, statement or speech",Leader of the House of Commons,UK,Coronavirus; first lockdown,Parliament,hybrid proceedings; Speaker of the House of Commons,https://www.parliament.uk/business/news/2020/april1/hybrid-house-of-commons/,NA,NA,NA
NA,21,April,2020,"The Leader of the House of Commons put forward a motion in the House to authorise MPs participating in oral questions, urgent questions, and ministerial statements under temporary arrangements for hybrid or virtual proceedings. The motion permitted this arrangement until 12 May 2020.",Parliamentary motion,Leader of the House of Commons,UK,Coronavirus; first lockdown,Parliament,hybrid proceedings; Speaker of the House of Commons,https://hansard.parliament.uk/commons/2020-04-21/debates/B4805A2C-7058-439F-8DEC-2168DD03DDD5/ProceedingsDuringThePandemicAndHybridScrutinyProceedings,NA,NA,NA
*,21,April,2020,"The Court of Appeal held that a Home Office scheme, which imposed obligations on landlords to endeavour not to provide accommodation to those with a disqualified immigration status, was compatible with Article 14 ECHR, read in conjunction with Article 8 ECHR. The scheme, issued under Chapter 1 Part 3 Immigration Act 2014, imposed obligations on landlords to endeavour not to rent property to those disqualified on the basis of their immigration status.",Case,Home Office,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; ECHR; immigration,https://www.bailii.org/ew/cases/EWCA/Civ/2020/542.html,NA,NA,NA
NA,22,April,2020,The Speaker of the House of Commons gave a statement on parliamentary procedure and rules during the temporary hybrid proceedings. Sir Lindsay Hoyle indicated that parliamentary privilege would apply to any comments made by MPs participating virtually and would not need to stand to catch the Speaker's eye.,"Decision, announcement, statement or speech",Leader of the House of Commons,UK,Coronavirus; first lockdown,Parliament,hybrid proceedings; Speaker of the House of Commons,https://hansard.parliament.uk/commons/2020-04-22/debates/2AAD48D6-BF19-46D0-80A7-92C343B56F66/SpeakerSStatement,NA,NA,NA
NA,22,April,2020,"The Leader of the House of Commons put forward a motion in the House to authorise MPs to participate in substantive House business virtually using the hybrid proceedings mechanism, particularly: personal statements; presentation of Bills; motions in the name of a Minister; and motions in the name of a Chair of a Committee.",Parliamentary motion,Leader of the House of Commons,UK,Coronavirus; first lockdown,Parliament,hybrid proceedings; Speaker of the House of Commons,https://hansard.parliament.uk/commons/2020-04-22/debates/670027D2-B7AA-4EEF-B50F-6C0885511062/HybridSubstantiveProceedings,NA,NA,NA
NA,29,April,2020,"The UK Supreme Court ruled that guidance issued by the Secretary of State for Housing, Communities and Local Government, made pursuant to the Public Service Pensions Act 2013 and the Local Government Pension Scheme (Management and Investment of Funds) Regulations 2016, was unlawful. The unauthorised guidance was addressed to local pension scheme administrators, and instructed administrators not to pursue policies ""that are contrary to UK foreign policy or UK defence policy"".",Case,"Ministry for Housing, Communities and Local Government",UK,None,Courts,Supreme Court; judicial review; cases,https://www.supremecourt.uk/cases/docs/uksc-2018-0133-judgment.pdf,NA,NA,NA
NA,4,May,2020,Conor Burns MP resigned as Minister of State for Trade Policy following a House of Commons Standards Committee report that he implicitly threatened a member of the public using his status as an MP.,"Appointment, dismissal or resignation",Department for International Trade,UK,None,"Civil service and public sector reform; Ethics, standards and integrity",resignation; House of Commons Standards Committee,https://committees.parliament.uk/publications/903/documents/6363/default/,NA,NA,NA
NA,4,May,2020,"The Scottish Government indicated that it would be advising the Scottish Parliament to grant some aspects of the Agriculture Bill before the UK Parliament legislative consent, with the possibility of granting further consent after a dispute related to some aspects of the Bill was resolved with the UK Government.",Parliamentary motion,"Scotland Office; Department for the Environment, Food and Rural Affairs",Scotland; UK,Brexit,"Devolution and the Union; Ethics, standards and integrity",conventions; Scotland; Sewel convention,https://archive2021.parliament.scot/S5_Bills/SPLCM-S05-38.pdf,NA,NA,NA
NA,7,May,2020,"Lady Harding, spouse of Conservative MP, John Penrose, was appointed to lead the Department for Health's test-and-tracing coronavirus programme.","Appointment, dismissal or resignation",Department for Health,England,Coronavirus,"Civil service and public sector reform; Ethics, standards and integrity",public body appointments,https://www.gov.uk/government/news/new-chair-of-coronavirus-test-and-trace-programme-appointed,NA,NA,NA
NA,10,May,2020,"In a public statement, the Prime Minister indicated that government guidance was undergoing a ""change in emphasis"", with those who could not work from home being encouraged to attend work in line with guidance on making workplaces Covid-secure; encouraging people to take unlimited amounts of outdoor exercise; and planning to increase fines capable of being issued by the police via fixed penalty notices.","Decision, announcement, statement or speech",Prime Minister; Department for Health,England,Coronavirus; first lockdown,Human rights and equality,police powers; freedom of association; criminal sanctions; education; protests,https://www.gov.uk/government/speeches/pm-address-to-the-nation-on-coronavirus-10-may-2020,NA,NA,NA
NA,12,May,2020,The Speaker of the House of Commons made a statement where he indicated that a vote taken during a division taken during hybrid proceedings has the same effect as a vote taken in the House and that any attempt to prevent a member from voting would be a serious breach of parliamentary privilege.,"Decision, announcement, statement or speech",Leader of the House of Commons,UK,Coronavirus,Parliament,hybrid proceedings; Speaker of the House of Commons,https://hansard.parliament.uk/commons/2020-05-12/debates/DDFBF12C-4431-476E-B00B-44F05673B88D/Speaker%E2%80%99SStatement,NA,NA,NA
NA,12,May,2020,The Leader of the House of Commons put forward a motion in the House to extend the House's hybrid proceedings until 20 May 2020.,Parliamentary motion,Leader of the House of Commons,UK,Coronavirus,Parliament,hybrid proceedings; Speaker of the House of Commons,https://hansard.parliament.uk/commons/2020-05-12/debates/3885EE99-56B3-48E2-BECB-982B11EC6842/HybridProceedings(ExtensionOfTemporaryOrders),NA,NA,NA
*,12,May,2020,"The Court of Appeal held that the Secretary of State acted contrary to Article 14 ECHR, read with Article 1 Protocol 1 ECHR, when refusing to exercise powers under the Welfare Reform Act 2012 to provide transitional protection for claimants who had erroneously been moved from “legacy” benefits to universal credit payments.",Case,Department for Work and Pensions,UK,None,Courts; Human rights and equality,cases; judicial review; Court of Appeal; social security; women and gender; ECHR,https://www.bailii.org/ew/cases/EWCA/Civ/2020/618.html,NA,NA,NA
NA,13,May,2020,"The Secretary of State for Health made the Health Protection (Coronavirus, Restrictions) (England) (Amendment) (No 2) Regulations 2020, which amended the list of reasonable excuses for which a person could leave their home to include recreational purposes; made clear that two people from different households could meet outdoors for recreational purposes; and increased fixed penalty notice fines from £60 to £100 for the first offence.",Statutory instrument,Department for Health,England,Coronavirus,Human rights and equality,police powers; freedom of association; criminal sanctions; education; protests,https://www.legislation.gov.uk/uksi/2020/500/contents/made,NA,NA,NA
